lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,CH4_uM,CO2_uM,year,doy
WL,DeepHole,7/9/14,7/9/14 9:10,point,8,8,DIC,47.41645012,615.5808843,2014,190
WL,DeepHole,7/9/14,7/9/14 9:10,point,8,8,DIC,47.49824235,622.5175064,2014,190
CR,DeepHole,7/10/14,7/10/14 10:25,point,10,10,DIC,0.186538397,364.903777,2014,191
CR,DeepHole,7/10/14,7/10/14 10:25,point,10,10,DIC,0.179931247,366.8936203,2014,191
HB,DeepHole,7/10/14,7/10/14 8:45,point,5,5,DIC,151.1247298,884.1116227,2014,191
HB,DeepHole,7/10/14,7/10/14 8:45,point,5,5,DIC,183.1479781,1084.273201,2014,191
MO,DeepHole,7/11/14,7/11/14 8:50,point,5,5,DIC,265.8582292,2392.044224,2014,192
MO,DeepHole,7/11/14,7/11/14 8:50,point,5,5,DIC,251.1055165,2058.64318,2014,192
CR,DeepHole,7/13/15,7/13/15 9:00,point,10,10,DIC,0.286886469,343.8661411,2015,194
CR,DeepHole,7/13/15,7/13/15 9:00,point,10,10,DIC,0.356751961,443.9685258,2015,194
HB,DeepHole,7/14/15,7/14/15 8:30,point,5,5,DIC,158.4453962,731.1994073,2015,195
HB,DeepHole,7/14/15,7/14/15 8:30,point,5,5,DIC,136.7980521,699.7804773,2015,195
CR,DeepHole,7/15/14,7/15/14 10:15,point,10,10,DIC,0.21805131,664.087694,2014,196
CR,DeepHole,7/15/14,7/15/14 10:15,point,10,10,DIC,0.116879455,559.2406745,2014,196
HB,DeepHole,7/15/14,7/15/14 14:30,point,5,5,DIC,185.8454411,1008.668436,2014,196
HB,DeepHole,7/15/14,7/15/14 14:30,point,5,5,DIC,143.375002,2.661618661,2014,196
EL,DeepHole,7/15/15,7/15/15 9:45,point,8,8,DIC,10.61059866,337.440278,2015,196
EL,DeepHole,7/15/15,7/15/15 9:45,point,8,8,DIC,13.37546525,365.3066981,2015,196
WL,DeepHole,7/15/15,7/15/15 8:30,point,8,8,DIC,34.29347095,419.6729752,2015,196
WL,DeepHole,7/15/15,7/15/15 8:30,point,8,8,DIC,42.73903559,482.8703081,2015,196
EL,DeepHole,7/16/14,7/16/14 10:00,point,8,8,DIC,7.851064055,446.667283,2014,197
EL,DeepHole,7/16/14,7/16/14 10:00,point,8,8,DIC,19.6997563,581.7820724,2014,197
WL,DeepHole,7/16/14,7/16/14 8:45,point,8,8,DIC,51.5636971,612.3248737,2014,197
WL,DeepHole,7/16/14,7/16/14 8:45,point,8,8,DIC,55.79837701,683.2807554,2014,197
MO,DeepHole,7/16/15,7/16/15 8:45,point,6,6,DIC,258.0643757,1725.234399,2015,197
MO,DeepHole,7/16/15,7/16/15 8:45,point,6,6,DIC,260.4101786,1716.841233,2015,197
MO,DeepHole,7/17/14,7/17/14 8:45,point,5,5,DIC,237.1386535,491.1910596,2014,198
MO,DeepHole,7/17/14,7/17/14 8:45,point,5,5,DIC,264.5527407,533.2209576,2014,198
CR,DeepHole,7/21/14,7/21/14 11:45,point,10,10,DIC,0.239394725,1.538138393,2014,202
CR,DeepHole,7/21/14,7/21/14 11:45,point,10,10,DIC,0.233758428,287.9096382,2014,202
HB,DeepHole,7/21/14,7/21/14 8:50,point,5,5,DIC,186.0893839,829.6444275,2014,202
HB,DeepHole,7/21/14,7/21/14 8:50,point,5,5,DIC,175.8144612,803.8467852,2014,202
EL,DeepHole,7/23/14,7/23/14 10:20,point,8,8,DIC,48.02573643,1.517773192,2014,204
EL,DeepHole,7/23/14,7/23/14 10:20,point,8,8,DIC,47.21352347,699.2016055,2014,204
WL,DeepHole,7/23/14,7/23/14 9:15,point,8,8,DIC,65.46708467,752.7666695,2014,204
WL,DeepHole,7/23/14,7/23/14 9:15,point,8,8,DIC,64.47103905,714.4388499,2014,204
MO,DeepHole,7/24/14,7/24/14 10:05,point,5,5,DIC,215.2223291,2316.404627,2014,205
MO,DeepHole,7/24/14,7/24/14 10:05,point,5,5,DIC,226.2384946,2383.868406,2014,205
CR,DeepHole,7/27/15,7/27/15 8:45,point,10,10,DIC,0.663553826,315.6979119,2015,208
CR,DeepHole,7/27/15,7/27/15 8:45,point,10,10,DIC,0.64700152,366.6147017,2015,208
HB,DeepHole,7/28/15,7/28/15 8:45,point,5,5,DIC,109.9053416,739.1772616,2015,209
HB,DeepHole,7/28/15,7/28/15 8:45,point,5,5,DIC,84.28841543,638.7545976,2015,209
CR,DeepHole,7/29/14,7/29/14 11:35,point,10,10,DIC,0.143980165,452.6231269,2014,210
CR,DeepHole,7/29/14,7/29/14 11:35,point,10,10,DIC,0.137415386,447.6731959,2014,210
HB,DeepHole,7/29/14,7/29/14 8:50,point,5,5,DIC,188.3074108,933.0772781,2014,210
HB,DeepHole,7/29/14,7/29/14 8:50,point,5,5,DIC,184.2587838,878.8652762,2014,210
EL,DeepHole,7/29/15,7/29/15 9:45,point,8,8,DIC,39.54969853,462.2521252,2015,210
EL,DeepHole,7/29/15,7/29/15 9:45,point,8,8,DIC,40.98990123,457.5990607,2015,210
WL,DeepHole,7/29/15,7/29/15 8:45,point,8,8,DIC,55.09012681,520.9475819,2015,210
WL,DeepHole,7/29/15,7/29/15 8:45,point,8,8,DIC,59.34928377,546.4109563,2015,210
EL,DeepHole,7/30/14,7/30/14 11:00,point,8,8,DIC,47.03504071,695.5586033,2014,211
EL,DeepHole,7/30/14,7/30/14 11:00,point,8,8,DIC,56.2461431,789.7203079,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,43.88821015,671.0079709,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,52.82108255,611.3857617,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,52.08962934,653.3981844,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,49.43244035,553.2355861,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,77.59952318,727.1813401,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,73.33074524,782.7266063,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,47.19954053,713.2591256,2014,211
WL,DeepHole,7/30/14,7/30/14 9:05,point,8,8,DIC,65.03357359,728.9493662,2014,211
MO,DeepHole,7/30/15,7/30/15 8:45,point,6,6,DIC,252.8220134,1568.195325,2015,211
MO,DeepHole,7/30/15,7/30/15 8:45,point,6,6,DIC,245.8659597,1578.195344,2015,211
MO,DeepHole,7/31/14,7/31/14 8:40,point,5,5,DIC,321.2640262,2384.96256,2014,212
MO,DeepHole,7/31/14,7/31/14 8:40,point,5,5,DIC,308.2986565,2253.652887,2014,212
CR,DeepHole,8/5/14,8/5/14 13:10,point,10,10,DIC,0.438851225,436.399736,2014,217
CR,DeepHole,8/5/14,8/5/14 13:10,point,10,10,DIC,0.540909901,565.9790916,2014,217
HB,DeepHole,8/5/14,8/5/14 10:25,point,5,5,DIC,115.2053052,3.786825215,2014,217
HB,DeepHole,8/5/14,8/5/14 10:25,point,5,5,DIC,186.6030542,1087.419577,2014,217
EL,DeepHole,8/6/14,8/6/14 11:40,point,8,8,DIC,15.48197549,5.065795384,2014,218
EL,DeepHole,8/6/14,8/6/14 11:40,point,8,8,DIC,16.6893776,430.1716456,2014,218
WL,DeepHole,8/6/14,8/6/14 10:10,point,8,8,DIC,61.98391666,596.9332959,2014,218
WL,DeepHole,8/6/14,8/6/14 10:10,point,8,8,DIC,66.7816925,629.6231367,2014,218
MO,DeepHole,8/7/14,8/7/14 9:00,point,5,5,DIC,244.449063,1892.69957,2014,219
MO,DeepHole,8/7/14,8/7/14 9:00,point,5,5,DIC,164.3654822,1274.238905,2014,219
CR,DeepHole,8/11/14,8/11/14 9:10,point,10,10,DIC,0.523983648,344.5281761,2014,223
CR,DeepHole,8/11/14,8/11/14 9:10,point,10,10,DIC,0.583518695,397.6675184,2014,223
HB,DeepHole,8/11/14,8/11/14 13:30,point,5,5,DIC,169.1493406,827.386734,2014,223
HB,DeepHole,8/11/14,8/11/14 13:30,point,5,5,DIC,190.4569385,908.1603803,2014,223
CR,DeepHole,8/11/15,8/11/15 9:45,point,8,8,DIC,0.208413922,393.9262824,2015,223
CR,DeepHole,8/11/15,8/11/15 9:45,point,8,8,DIC,0.204692028,408.4882507,2015,223
HB,DeepHole,8/11/15,8/11/15 11:20,point,5,5,DIC,155.9511412,859.5411898,2015,223
HB,DeepHole,8/11/15,8/11/15 11:20,point,5,5,DIC,165.5365344,935.9561001,2015,223
EL,DeepHole,8/12/14,8/12/14 10:25,point,8,8,DIC,68.33921355,578.9206365,2014,224
EL,DeepHole,8/12/14,8/12/14 10:25,point,8,8,DIC,60.37929278,542.2968915,2014,224
WL,DeepHole,8/12/14,8/12/14 8:50,point,8,8,DIC,65.03146314,529.6256093,2014,224
WL,DeepHole,8/12/14,8/12/14 8:50,point,8,8,DIC,52.31417689,475.4039506,2014,224
EL,DeepHole,8/12/15,8/12/15 10:25,point,8,8,DIC,50.15524739,544.3736639,2015,224
